gene	inheritance	severe
CHST14	AR	yes
CHST3	AR	no
CHST6	AR	no
CHSY1	AR	yes
CHUK	AR	no
CIAO1	AR	no
CIB1	AR	yes
CIB2	AR	yes
CIBAR1	AR	no
CIDEC	AR	yes
CIITA	AR	yes
CILK1	AR	no
CIROP	AR	yes
CIROZ	AR	yes
CISD2	AR	yes
CIT	AR	no
CKAP2L	AR	no
CLAM	AR	no
CLCC1	AR	no
CLCF1	AR	yes
CLCN1	AR	yes
CLCN3	AR	no
CLCN4	XL	no
CLCN5	XL	yes
CLCN7	AR	yes
CLCNKA	AR	yes
CLCNKB	AR	yes
CLDN1	AR	no
CLDN10	AR	yes
CLDN11	AR	no
CLDN14	AR	yes
CLDN16	AR	yes
CLDN19	AR	yes
CLDN2	XL	no
CLDN9	AR	no
CLEC7A	AR	yes
CLIC2	XL	no
CLIC5	AR	yes
CLMP	AR	yes
CLN3	AR	yes
CLN5	AR	no
CLN6	AR	no
CLN8	AR	no
CLP1	AR	no
CLPB	AR	yes
CLPP	AR	yes
CLRN1	AR	no
CLRN2	AR	yes
CLXN	AR	yes
CMPK2	AR	no
CNGA1	AR	no
CNGA3	AR	no
CNGB1	AR	no
CNGB3	AR	no
CNKSR2	XL	no
CNNM2	AR	yes
CNNM4	AR	no
CNP	AR	no
CNPY3	AR	no
CNTN1	AR	no
CNTN2	AR	no
CNTNAP1	AR	no
CNTNAP2	AR	no
COA3	AR	no
COA5	AR	no
COA6	AR	no
COA7	AR	no
COA8	AR	no
COASY	AR	no
COCH	AR	yes
COG1	AR	yes
COG2	AR	yes
COG3	AR	no
COG4	AR	yes
COG5	AR	yes
COG6	AR	yes
COG7	AR	yes
COG8	AR	yes
COL11A1	AR	yes
COL11A2	AR	yes
COL12A1	AR	no
COL13A1	AR	yes
COL17A1	AR	no
COL18A1	AR	yes
COL1A2	AR	yes
COL25A1	AR	no
COL27A1	AR	yes
COL3A1	AR	yes
COL4A3	AR	yes
COL4A4	AR	yes
COL4A5	XL	yes
COL4A6	XL	yes
COL6A1	AR	no
COL6A2	AR	no
COL6A3	AR	no
COL7A1	AR	yes
COL9A1	AR	yes
COL9A2	AR	yes
COL9A3	AR	yes
COLEC10	AR	no
COLEC11	AR	yes
COLGALT1	AR	no
COLQ	AR	yes
COPB2	AR	no
COPG1	AR	yes
COQ2	AR	yes
COQ4	AR	yes
COQ5	AR	yes
COQ6	AR	yes
COQ7	AR	yes
COQ8A	AR	yes
COQ8B	AR	yes
COQ9	AR	yes
CORIN	AR	yes
CORO1A	AR	yes
COX10	AR	no
COX11	AR	no
COX14	AR	no
COX15	AR	no
COX16	AR	no
COX20	AR	no
COX4I1	AR	yes
COX4I2	AR	yes
COX5A	AR	yes
COX6A1	AR	no
COX6A2	AR	no
COX6B1	AR	no
COX7B	XL	no
COX8A	AR	no
CP	AR	yes
CPA6	AR	no
CPAMD8	AR	no
CPE	AR	yes
CPLANE1	AR	no
CPLX1	AR	no
CPN1	AR	yes
CPOX	AR	yes
CPS1	AR	yes
CPSF3	AR	no
CPT1A	AR	yes
CPT2	AR	yes
CR2	AR	yes
CRADD	AR	no
CRAT	AR	no
CRB1	AR	no
CRB2	AR	yes
CRBN	AR	no
CREB3L1	AR	no
CRELD1	AR	yes
CRIPT	AR	no
CRLF1	AR	yes
CRLS1	AR	no
CRPPA	AR	no
CRTAP	AR	no
CRX	AR	no
CRYAA	AR	no
CRYBB1	AR	no
CRYBB3	AR	no
CSF1R	AR	no
CSF2RA	XL	yes
CSF2RB	AR	yes
CSF3R	AR	yes
CSGALNACT1	AR	no
CSPP1	AR	no
CST6	AR	no
CSTA	AR	no
CSTB	AR	no
CSTF2	XL	no
CT55	XL	no
CTC1	AR	no
CTDP1	AR	yes
CTH	AR	no
CTNNA2	AR	no
CTNNBL1	AR	yes
CTNS	AR	yes
CTPS1	AR	yes
CTSA	AR	yes
CTSC	AR	yes
CTSD	AR	no
CTSF	AR	no
CTSK	AR	no
CTU2	AR	no
CUBN	AR	yes
CUL4B	XL	no
CUL7	AR	no
CWC27	AR	no
CWF19L1	AR	no
CYB561	AR	yes
CYB5A	AR	yes
CYB5R3	AR	yes
CYBA	AR	yes
CYBB	XL	yes
CYBC1	AR	yes
CYC1	AR	yes
CYLC1	XL	no
CYP11A1	AR	yes
CYP11B1	AR	yes
CYP11B2	AR	yes
CYP17A1	AR	yes
CYP19A1	AR	yes
CYP1B1	AR	yes
CYP21A2	AR	yes
CYP24A1	AR	yes
CYP26B1	AR	no
CYP26C1	AR	no
CYP27A1	AR	yes
CYP27B1	AR	yes
CYP2C8	AR	yes
CYP2R1	AR	yes
CYP2U1	AR	no
CYP4F22	AR	no
CYP4V2	AR	no
CYP7B1	AR	yes
D2HGDH	AR	no
DAAM2	AR	no
DAG1	AR	no
DALRD3	AR	no
DAND5	AR	yes
DAP3	AR	yes
DARS1	AR	no
DARS2	AR	no
DAW1	AR	yes
DBH	AR	yes
DBR1	AR	yes
DBT	AR	yes
DCAF17	AR	yes
DCC	AR	no
DCDC2	AR	yes
DCHS1	AR	yes
DCLRE1B	AR	yes
DCLRE1C	AR	yes
DCPS	AR	no
DCT	AR	no
DCX	XL	no
DCXR	AR	no
DDB2	AR	yes
DDC	AR	yes
DDHD1	AR	no
DDHD2	AR	no
DDOST	AR	yes
DDRGK1	AR	yes
DDX11	AR	yes
DDX3X	XL	no
DDX59	AR	yes
DEAF1	AR	no
DECR1	AR	no
DEF6	AR	yes
DEGS1	AR	no
DENND5A	AR	no
DEPDC5	AR	yes
DES	AR	yes
DGAT1	AR	yes
DGKE	AR	yes
DGUOK	AR	yes
DHCR24	AR	no
DHCR7	AR	yes
DHDDS	AR	no
DHFR	AR	yes
DHH	AR	yes
DHODH	AR	no
DHPS	AR	no
DHRSX	AR	no
DHTKD1	AR	no
DHX37	AR	yes
DHX38	AR	no
DIAPH2	XL	yes
DIS3L2	AR	yes
DKC1	XL	yes
DLAT	AR	yes
DLD	AR	yes
DLG3	XL	no
DLG5	AR	yes
DLL3	AR	no
DLX5	AR	yes
DMD	XL	yes
DMGDH	AR	no
DMP1	AR	yes
DMPK	AR	yes
DMXL2	AR	yes
DNA2	AR	no
DNAAF1	AR	yes
DNAAF11	AR	yes
DNAAF2	AR	yes
DNAAF3	AR	yes
DNAAF4	AR	yes
DNAAF5	AR	yes
DNAAF6	XL	yes
DNAH1	AR	yes
DNAH10	AR	no
DNAH11	AR	yes
DNAH17	AR	no
DNAH2	AR	no
DNAH5	AR	yes
DNAH7	AR	yes
DNAH8	AR	no
DNAH9	AR	yes
DNAI1	AR	yes
DNAI2	AR	yes
DNAJB13	AR	yes
DNAJB2	AR	no
DNAJB4	AR	no
DNAJC12	AR	yes
DNAJC19	AR	yes
DNAJC21	AR	yes
DNAJC3	AR	no
DNAJC30	AR	no
DNAJC6	AR	no
DNAL1	AR	yes
DNAL4	AR	no
DNALI1	AR	no
DNASE1L3	AR	no
DNASE2	AR	yes
DNHD1	AR	no
DNM1	AR	no
DNM1L	AR	no
DNM2	AR	no
DNMBP	AR	no
DNMT3B	AR	yes
DOCK11	XL	yes
DOCK2	AR	yes
DOCK3	AR	no
DOCK6	AR	yes
DOCK7	AR	no
DOCK8	AR	yes
DOHH	AR	yes
DOK7	AR	yes
DOLK	AR	yes
DONSON	AR	no
DPAGT1	AR	yes
DPH1	AR	yes
DPH2	AR	yes
DPH5	AR	no
DPM1	AR	yes
DPM2	AR	yes
DPM3	AR	yes
DPP9	AR	yes
DPY19L2	AR	no
DPYD	AR	yes
DPYS	AR	yes
DRAM2	AR	no
DRC1	AR	yes
DRG1	AR	no
DSC2	AR	yes
DSC3	AR	no
DSE	AR	yes
DSG1	AR	yes
DSG3	AR	no
DSG4	AR	no
DSP	AR	yes
DST	AR	no
DTNBP1	AR	yes
DTYMK	AR	no
DUOX2	AR	yes
DUOXA2	AR	yes
DUT	AR	yes
DYM	AR	yes
DYNC2H1	AR	no
DYNC2I1	AR	no
DYNC2I2	AR	no
DYNC2LI1	AR	no
DYNLT2B	AR	no
DYSF	AR	yes
DZIP1L	AR	yes
EARS2	AR	no
EBP	XL	no
ECEL1	AR	no
ECHS1	AR	no
ECM1	AR	no
EDA	XL	no
EDAR	AR	no
EDARADD	AR	no
EDC3	AR	no
EDEM3	AR	no
EDN1	AR	no
EDN3	AR	yes
EDNRB	AR	yes
EFEMP1	AR	yes
EFEMP2	AR	yes
EFL1	AR	yes
EFNB1	XL	no
EGF	AR	yes
EGFR	AR	yes
EGR2	AR	no
EIF2AK2	AR	no
EIF2AK3	AR	yes
EIF2AK4	AR	yes
EIF2B1	AR	yes
EIF2B2	AR	yes
EIF2B3	AR	yes
EIF2B4	AR	yes
EIF2B5	AR	yes
EIF2S3	XL	yes
EIF3F	AR	no
EIF4A2	AR	no
EIF4A3	AR	no
ELAC2	AR	yes
ELF4	XL	yes
ELMO2	AR	yes
ELMOD3	AR	yes
ELOVL4	AR	no
ELP1	AR	no
ELP2	AR	no
EMC1	AR	no
EMC10	AR	no
EMD	XL	yes
EMG1	AR	no
EMILIN1	AR	yes
EML1	AR	no
EMP2	AR	no
EN1	AR	yes
ENAM	AR	no
ENO3	AR	no
ENPP1	AR	yes
ENTPD1	AR	no
EOGT	AR	yes
EPB41	AR	yes
EPB42	AR	yes
EPCAM	AR	yes
EPG5	AR	yes
EPHB2	AR	yes
EPHX1	AR	yes
EPM2A	AR	no
EPO	AR	yes
EPRS1	AR	no
EPS8	AR	yes
EPS8L2	AR	yes
EPX	AR	no
ERAL1	AR	yes
ERBB2	AR	yes
ERBB3	AR	yes
ERCC1	AR	no
ERCC2	AR	yes
ERCC3	AR	yes
ERCC4	AR	yes
ERCC5	AR	yes
ERCC6	AR	yes
ERCC6L2	AR	yes
ERCC8	AR	yes
ERGIC1	AR	no
ERI1	AR	yes
ERLIN1	AR	no
ERLIN2	AR	no
ESAM	AR	no
ESCO2	AR	yes
ESPN	AR	yes
ESR1	AR	no
ESR2	AR	yes
ESRP1	AR	yes
ESRRB	AR	yes
ETFA	AR	yes
ETFB	AR	yes
ETFDH	AR	yes
ETHE1	AR	yes
EVC	AR	yes
EVC2	AR	yes
EXOC2	AR	no
EXOC3L2	AR	no
EXOC6B	AR	no
EXOSC1	AR	no
EXOSC2	AR	yes
EXOSC3	AR	no
EXOSC5	AR	yes
EXOSC8	AR	no
EXOSC9	AR	no
EXPH5	AR	no
EXTL3	AR	yes
EYS	AR	no
F10	AR	yes
F11	AR	yes
F12	AR	yes
F13A1	AR	yes
F13B	AR	yes
F2	AR	yes
F5	AR	yes
F7	AR	yes
F8	XL	yes
F9	XL	yes
FA2H	AR	no
FADD	AR	yes
FAH	AR	yes
FAM126A	AR	no
FAM149B1	AR	no
FAM161A	AR	no
FAM20A	AR	no
FAM20C	AR	yes
FAM50A	XL	no
FAN1	AR	no
FANCA	AR	yes
FANCB	XL	yes
FANCC	AR	yes
FANCD2	AR	yes
FANCE	AR	yes
FANCF	AR	yes
FANCG	AR	yes
FANCI	AR	yes
FANCL	AR	yes
FANCM	AR	yes
FAR1	AR	no
FARS2	AR	no
FARSA	AR	yes
FARSB	AR	yes
FAS	AR	yes
FASTKD2	AR	no
FAT4	AR	yes
FBLN5	AR	no
FBP1	AR	yes
FBXL3	AR	no
FBXL4	AR	no
FBXO31	AR	no
FBXO43	AR	no
FBXO7	AR	yes
FCGR3A	AR	yes
FCHO1	AR	yes
FCN3	AR	yes
FCSK	AR	no
FDFT1	AR	no
FDX2	AR	yes
FDXR	AR	no
FECH	AR	yes
FERMT1	AR	no
FERMT3	AR	yes
FEZF1	AR	yes
FGA	AR	yes
FGB	AR	yes
FGD1	XL	no
FGD4	AR	no
FGF13	XL	no
FGF16	XL	no
FGF20	AR	no
FGF23	AR	yes
FGF3	AR	yes
FGF5	AR	no
FGFR3	AR	yes
FGG	AR	yes
FHL1	XL	yes
FIBP	AR	yes
FICD	AR	no
FIG4	AR	no
FILIP1	AR	no
FITM2	AR	yes
FKBP10	AR	no
FKBP14	AR	yes
FKBP6	AR	no
FKRP	AR	yes
FKTN	AR	yes
FLAD1	AR	yes
FLG	AR	no
FLG2	AR	no
FLI1	AR	yes
FLII	AR	yes
FLNA	XL	yes
FLNB	AR	yes
FLT3LG	AR	yes
FLT4	AR	yes
FLVCR1	AR	no
FLVCR2	AR	no
FMN2	AR	no
FMO3	AR	yes
FMR1	XL	yes
FNIP1	AR	yes
FOCAD	AR	yes
FOLR1	AR	yes
FOXE1	AR	yes
FOXE3	AR	yes
FOXI1	AR	yes
FOXI3	AR	yes
FOXN1	AR	yes
FOXP3	XL	yes
